cv_id,id_cv,candidat_name,poste,date_depot_dossier,interests,qualities,educations,experiences,adequate,potentiel
54,52,Charlie,Backend Developer,2024-09-23,"Programming, Gaming","Technical, Logical","Licence","Backend Dev (24.00 months), API Dev (12.00 months)",1,0
55,53,Rory,Sales Executive,2024-09-22,"Public Speaking, Networking","Persuasive, Driven","BACC","Sales (20.00 months), Customer Service (8.00 months)",1,1
56,54,Shawn,HR Specialist,2024-09-21,"Reading, Volunteering","Empathetic, Organized","Licence","HR (24.00 months), Payroll (10.00 months)",1,0
57,55,Casey,Software Tester,2024-09-20,"Testing, Puzzles","Meticulous, Detail-Oriented","Diploma, BACC","Testing (24.00 months), QA (12.00 months)",1,1
58,56,Riley,Network Administrator,2024-09-19,"Networking, Coding","Problem-Solver, Technical","Licence","Networking (30.00 months), IT Support (18.00 months)",1,1
59,57,Jesse,Customer Success,2024-09-18,"Customer Relations, Fitness","Communicative, Organized","BACC, Licence","Customer Success (24.00 months), Sales (10.00 months)",1,0
cv_id,id_cv,candidat_name,poste,date_depot_dossier,interests,qualities,educations,experiences,adequate,potentiel
60,58,Blair,Data Analyst,2024-09-17,"Data Science, Reading","Analytical, Thorough","Licence, Master","Data Analysis (30.00 months), Statistics (12.00 months)",1,1
61,59,Quinn,Content Writer,2024-09-16,"Writing, Cooking","Creative, Detail-Oriented","Licence","Content Writing (20.00 months), Editing (8.00 months)",1,0
62,60,Ashley,Frontend Developer,2024-09-15,"Design, Photography","Artistic, Efficient","Diploma, Licence","Frontend Dev (18.00 months), Graphic Design (10.00 months)",1,1
63,61,Reagan,HR Coordinator,2024-09-14,"Volunteering, Public Speaking","Empathetic, Reliable","BACC","HR (24.00 months), Recruitment (12.00 months)",1,1
64,62,Cameron,Database Administrator,2024-09-13,"Gaming, Coding","Technical, Detail-Oriented","Licence","Database Mgmt (30.00 months), Data Backup (15.00 months)",1,1
65,63,Marley,UX Designer,2024-09-12,"Art, Hiking","Creative, Problem-Solver","Licence","UX Design (18.00 months), UI Research (8.00 months)",1,0
66,64,Alexis,Operations Assistant,2024-09-11,"Logistics, Strategy Games","Organized, Strategic","BACC","Operations (24.00 months), Logistics (10.00 months)",1,1
67,65,Blake,IT Consultant,2024-09-10,"Technology, Reading","Analytical, Problem-Solver","Licence, Master","IT Consulting (36.00 months), Project Mgmt (12.00 months)",1,1
68,66,Kai,Customer Service,2024-09-09,"Traveling, Cooking","Patient, Communicative","Diploma","Customer Support (22.00 months), Sales (8.00 months)",1,0
69,67,Harley,Software Engineer,2024-09-08,"Programming, Gaming","Technical, Logical","Licence","Software Dev (30.00 months), Full Stack (15.00 months)",1,1
70,68,Logan,Product Owner,2024-09-07,"Product Development, Innovation","Strategic, Visionary","Licence","Product Mgmt (36.00 months), Agile (12.00 months)",1,1
71,69,Jordan,Digital Marketer,2024-09-06,"Social Media, Blogging","Creative, Goal-Oriented","Licence","Marketing (20.00 months), SEO (10.00 months)",1,0
72,70,Payton,Graphic Designer,2024-09-05,"Art, Photography","Artistic, Creative","Diploma","Graphic Design (30.00 months), Branding (15.00 months)",1,1
73,71,River,Quality Assurance,2024-09-04,"Testing, Problem-Solving","Thorough, Reliable","Diploma, BACC","Testing (24.00 months), QA (10.00 months)",1,1
74,72,Taylor,Data Scientist,2024-09-03,"Machine Learning, Coding","Analytical, Detail-Oriented","Master","Data Science (36.00 months), Machine Learning (24.00 months)",1,1
75,73,Phoenix,Project Coordinator,2024-09-02,"Organization, Cooking","Organized, Communicative","Licence","Project Mgmt (28.00 months), Coordination (12.00 months)",1,0
76,74,Emerson,Business Analyst,2024-09-01,"Finance, Data Analysis","Detail-Oriented, Analytical","BACC, Licence","Business Analysis (24.00 months), Finance (10.00 months)",1,1
77,75,Angel,Backend Developer,2024-08-31,"Programming, Puzzles","Technical, Problem-Solver","Licence","Backend Dev (24.00 months), Database Mgmt (12.00 months)",1,1
78,76,Remy,Sales Consultant,2024-08-30,"Networking, Traveling","Persuasive, Goal-Oriented","BACC","Sales (22.00 months), Marketing (10.00 months)",1,0
79,77,Luca,Supply Chain Analyst,2024-08-29,"Logistics, Travel","Analytical, Detail-Oriented","Licence","Supply Chain (30.00 months), Operations (15.00 months)",1,1
80,78,Elliot,Mobile Developer,2024-08-28,"Coding, Gaming","Adaptable, Technical","Diploma","Mobile Dev (18.00 months), UX Design (10.00 months)",0,1
81,79,Micah,Legal Advisor,2024-08-27,"Debating, Reading","Decisive, Analytical","Master","Legal (24.00 months), Compliance (12.00 months)",1,1
82,80,Devin,Research Analyst,2024-08-26,"Research, Writing","Analytical, Thorough","Licence","Research (24.00 months), Analysis (8.00 months)",1,0
83,81,Charlie,Financial Controller,2024-08-25,"Finance, Investing","Organized, Analytical","Master","Finance (30.00 months), Accounting (12.00 months)",1,1
84,82,Sasha,HR Analyst,2024-08-24,"People Management, Coaching","Empathetic, Organized","Licence","HR (20.00 months), Payroll (10.00 months)",1,0
85,83,Casey,Product Designer,2024-08-23,"Design, Innovation","Creative, Strategic","Licence","Product Design (24.00 months), Research (12.00 months)",1,1
